Gap ID,Function ID,Area,Current Problem,Impact,Suggested Fix,Priority,Status
GAP-F001-001,F001,Patient Identifier,"Identifier uniqueness is global because patient_identifiers uses UNIQUE(identifier_type, identifier_value)","Two organizations may use the same MRN or internal patient ID","Add tenant-aware identifier scope using organization_id or another explicit scope","HIGH","OPEN"
GAP-F001-002,F001,Patient Disease,"Foreign keys verify patient_id and disease_id exist but do not guarantee both belong to the same organization","Patient from Organization A may be linked to disease master from Organization B","Add database-level tenant consistency enforcement after validating isolation test result","HIGH","OPEN"
GAP-F001-003,F001,Registration Symptom,"Foreign keys do not directly guarantee registration and symptom master belong to the same organization","Cross-organization symptom mapping may be possible","Add tenant consistency enforcement after dedicated dry run","HIGH","OPEN"
GAP-F001-004,F001,Medical Condition,"Foreign keys do not guarantee patient and medical condition master belong to the same organization","Cross-organization condition mapping may be possible","Add tenant consistency enforcement after dedicated dry run","HIGH","OPEN"
GAP-F001-005,F001,Vaccination,"Vaccination workflow is not yet supported or validated","Patient vaccination details from registration workflow cannot yet be proven","Design and dry-run vaccination model","MEDIUM","OPEN"
GAP-F001-006,F001,Travel Exposure,"Travel and exposure workflow is not yet supported or validated","Screen data cannot yet be proven against schema","Design and dry-run travel/exposure model","MEDIUM","OPEN"
GAP-F001-007,F001,Screening,"Screening workflow is not yet supported or validated","Screening answers/history cannot yet be proven","Design and dry-run screening model","MEDIUM","OPEN"
GAP-F001-008,F001,Referral,"Referral workflow is not yet supported or validated","Referring doctor or referral source cannot yet be proven","Map referral functionality to actual schema and dry-run it","HIGH","OPEN"
GAP-F001-009,F001,Pricing Billing,"Pricing and billing flow is not yet validated","Registration-to-commercial workflow remains incomplete","Validate later with billing and quotation functionality","HIGH","OPEN"
GAP-F006-001,F006,Appointment Core,"No appointment entity has been validated in the current local schema","New Appointment workflow cannot yet create or manage bookings","Design appointments table with organization branch patient schedule type status and audit relationships","HIGH","OPEN"
GAP-F006-002,F006,Appointment Tests,"No validated relationship exists between an appointment and selected laboratory tests","Selected tests cannot be stored against an appointment","Validate test catalogue first and design appointment-to-test relationship","HIGH","OPEN"
GAP-F006-003,F006,Appointment Status,"Appointment lifecycle is not yet modeled or validated","Booked rescheduled cancelled completed and no-show states cannot be reliably tracked","Design controlled appointment status lifecycle and status history","HIGH","OPEN"
GAP-F006-004,F006,Appointment Assignment,"Users table exists but appointment-to-staff assignment is not modeled","Phlebotomist or staff assignment cannot be proven","Design appointment assignment relationship with assigned user role and timestamps","HIGH","OPEN"
GAP-F006-005,F006,Referral,"Referral and shared referral workflows are not yet modeled","Referring doctor source and shared referral cannot be stored reliably","Design referral source and registration or appointment referral mapping","HIGH","OPEN"
GAP-F006-006,F006,Agent,"Agent information is not yet modeled","Agent-based booking or referral context cannot be stored","Confirm business meaning of Agent Name before schema design","MEDIUM","OPEN"
GAP-F006-007,F006,Vaccination,"COVID vaccination status type and dose history are not modeled","Vaccination information from the screen cannot be stored as structured history","Design patient vaccination and dose-event model","MEDIUM","OPEN"
GAP-F006-008,F006,Travel Exposure,"Travel and exposure details are not modeled","Screening and exposure information cannot be stored per registration or appointment","Design encounter-specific travel and exposure history","MEDIUM","OPEN"
GAP-F006-009,F006,Screening,"Aarogya Setu and hospitalization responses are not modeled","Screening responses cannot be stored or historically tracked","Design configurable screening questionnaire and response model after confirming current requirement","LOW","OPEN"
GAP-F006-010,F006,Patient Designation,"Patient designation or title is not present in the current patient schema","Designation shown on screen cannot be stored","Confirm whether designation is required and add controlled title field or master if retained","LOW","OPEN"
